keys,es,ru,pt,de,jp,fr,pl
biggie,Biggie,Бигги,grande,Biggie,ビギー,grand,wielki
too bad,demasiado,очень жаль,muito ruim,Schade.,残念な,dommage,szkoda
biggie,Biggie,Бигги,grande,Biggie,ビギー,grand,wielki
do it.,hazlo.,Сделайте это.,faça isso.,Mach es.,やってみて。,fais-le.,zrób to.
Welcome to Rim's Interactive Arts! What can I do for you.,¡Bienvenidos a Rim's Interactive Arts! ¿En qué puedo ayudarles?,Добро пожаловать в Rim's Interactive Arts! Чем я могу вам помочь?,Bem-vindo(a) à Rim's Interactive Arts! O que posso fazer por você?,Willkommen bei Rim's Interactive Arts! Was kann ich für Sie tun?,Rim's Interactive Artsへようこそ！何かお手伝いできることはありますか？,Bienvenue chez Rim's Interactive Arts ! Que puis-je faire pour vous ?,Witamy w Rim's Interactive Arts! Co mogę dla Ciebie zrobić?
"The paintings are not for sale, they're for playing!","¡Los cuadros no están a la venta, son para jugar!","Эти картины не продаются, они предназначены для игры!","As pinturas não estão à venda, são para brincar!","Die Gemälde stehen nicht zum Verkauf, sie sind zum Spielen da!",これらの絵画は販売用ではなく、遊ぶためのものです！,"Ces tableaux ne sont pas à vendre, ils sont faits pour jouer !","Obrazy nie są na sprzedaż, służą do zabawy!"
"Alright funny guy, go touch a painting, you'll see what I mean.","Vale, gracioso, ve a tocar un cuadro y verás a qué me refiero.","Ладно, забавный парень, пойди потрогай картину, и ты поймешь, о чем я говорю.","Muito bem, engraçadinho, vai lá tocar num quadro, você vai entender o que eu quero dizer.","Na gut, du Witzbold, berühr mal ein Gemälde, dann wirst du verstehen, was ich meine.",おいおい、おかしな奴だな。絵画に触ってみろよ。そうすれば俺の言っていることがわかるだろう。,"Bon, rigolo, va toucher un tableau, tu verras ce que je veux dire.","Dobra, śmieszku, idź dotknąć obrazu, to zrozumiesz, o co mi chodzi."
Come back if you've got any more questions.,Vuelva si tiene alguna otra pregunta.,"Если у вас возникнут ещё вопросы, обращайтесь.",Volte se tiver mais alguma dúvida.,"Kommen Sie wieder, wenn Sie weitere Fragen haben.",他に質問があれば、また来てください。,Revenez nous voir si vous avez d'autres questions.,"Wróć, jeśli będziesz miał więcej pytań."
Hello again.,Hola de nuevo.,Привет ещё раз.,Olá novamente.,Hallo nochmal.,こんにちは、またお会いしましたね。,Bonjour à nouveau.,Witam ponownie.
"Yeah sure, on what?","Sí, claro, ¿en qué?","Да, конечно, а на чём?","Sim, claro, sobre o quê?","Ja klar, worauf denn?",ええ、もちろん。何についてですか？,"Oui, bien sûr, sur quoi ?","Jasne, na czym?"
"In HARD and the last 30 seconds in NORMAL,","En DIFÍCIL y los últimos 30 segundos en NORMAL,",В режиме HARD последние 30 секунд в режиме NORMAL.,"No modo DIFÍCIL e nos últimos 30 segundos do modo NORMAL,","Im Schwierigkeitsgrad SCHWER und die letzten 30 Sekunden im Schwierigkeitsgrad NORMAL,",HARDでは、NORMALでは最後の30秒で、,"En mode DIFFICILE et les 30 dernières secondes en mode NORMAL,","W trybie HARD i ostatnie 30 sekund w trybie NORMALNYM,"
"the elevator will always slam where you are going to be,",El ascensor siempre dará un portazo donde vayas a estar.,"Лифт всегда резко хлопнет там, где вы окажетесь.",O elevador sempre vai bater com força exatamente onde você vai estar.,"Der Aufzug wird immer genau dort zuschlagen, wo Sie hinwollen.",エレベーターは必ずあなたが行く場所にバタンと止まります。,L'ascenseur s'arrêtera toujours brutalement là où vous allez.,"winda zawsze zatrzaśnie się tam, gdzie zamierzasz być,"
"so you can turn around over and over to avoid him,","para que puedas darte la vuelta una y otra vez para evitarlo,","чтобы ты мог снова и снова оборачиваться, избегая его.","para que você possa se virar várias vezes para evitá-lo,","sodass du dich immer wieder umdrehen kannst, um ihm auszuweichen.",だから、彼を避けるために何度も振り向くことができる、,"vous pouvez donc vous retourner sans cesse pour l'éviter,","więc możesz się ciągle odwracać, żeby go uniknąć,"
maybe do a zigzag or something.,tal vez hacer un zigzag o algo así.,"Может быть, сделать зигзагообразный узор или что-то подобное.",Talvez faça um ziguezague ou algo assim.,Vielleicht im Zickzack oder so.,ジグザグとか、何か別の方法を試してみてはどうだろう。,Peut-être faire un zigzag ou quelque chose comme ça.,może zrób zygzak albo coś.
"Uhh, I wouldn't rely on hugging it when it's shooting a laser.","Uhh, yo no confiaría en abrazarlo cuando está disparando un láser.","Эээ, я бы не стал полагаться на то, что его можно обнять, когда он стреляет лазером.","Hum, eu não confiaria em abraçá-lo quando ele estiver atirando um laser.","Ähm, ich würde mich nicht darauf verlassen, es zu umarmen, wenn es einen Laser abfeuert.",うーん、レーザーを撃っている時に抱きつくのはやめた方がいいと思うよ。,"Euh, je ne miserais pas sur le fait de le serrer dans mes bras quand il tire un laser.","Eee, nie polegałbym na przytulaniu go, kiedy strzela laserem."
you've gotta predict when its gonna shoot and cross over the warning.,Tienes que predecir cuándo va a disparar y cruzar la señal de advertencia.,"Нужно предсказать, когда произойдет выстрел, и пересечь предупреждающий знак.",Você precisa prever quando o disparo ocorrerá e ultrapassará a linha de aviso.,"Man muss vorhersagen, wann es schießt und die Warnzone überquert.",いつ発射されるかを予測して、警告を発するタイミングを見計らわなければならない。,Il faut prévoir quand ça va tirer et franchir le seuil d'alerte.,"Musisz przewidzieć, kiedy nastąpi strzał i przekroczyć granicę ostrzeżenia."
"Also, its always a 180° sweep in HARD","Además, siempre es un giro de 180° en DIFÍCIL.","Кроме того, в режиме HARD всегда происходит разворот на 180°.","Além disso, é sempre uma virada de 180° com força.",Außerdem ist es im HARD-Modus immer eine 180°-Drehung.,また、ハードモードでは常に180°スイープです,"De plus, il s'agit toujours d'un balayage à 180° en mode DIFFICILE",Ponadto w trybie HARD zawsze następuje obrót o 180°
Any time.,En cualquier momento.,В любое время.,A qualquer momento.,Jederzeit.,いつでも。,À tout moment.,W każdej chwili.
Good luck.,Buena suerte.,Удачи.,Boa sorte.,Viel Glück.,幸運を。,Bonne chance.,Powodzenia.
"Oh yeah, it sure is a hard one.","Oh sí, sin duda es una pregunta difícil.","Да, это действительно сложный вопрос.","Ah, sim, com certeza é uma questão difícil.","Oh ja, das ist in der Tat eine schwierige Frage.",ああ、確かに難しい問題だね。,"Oh oui, c'est certainement une question difficile.","O tak, to jest naprawdę trudne."
"during the final waves, try to eliminate the lil whiskers' first,","durante las últimas oleadas, intenta eliminar primero los pequeños bigotes,",На последних этапах постарайтесь сначала удалить мелкие усики.,"Durante as ondas finais, tente eliminar primeiro os bigodes menores.",Versuchen Sie in den letzten Wellen zuerst die kleinen Schnurrhaare zu eliminieren.,最後の波では、まず小さなヒゲを倒すようにしてください。,"Lors des dernières vagues, essayez d'éliminer d'abord les petites moustaches,","podczas ostatnich fal staraj się wyeliminować najpierw małe wąsy,"
"then the floaty ones, then the small ones.","luego los que flotan, luego los pequeños.","Сначала плавающие, потом маленькие.","Primeiro vêm as que flutuam, depois as pequenas.","erst die schwimmenden, dann die kleinen.",それから浮いているもの、それから小さいもの。,"d'abord les flottantes, puis les petites.","potem te unoszące się w powietrzu, a potem te małe."
That way all your attention is on the big guys.,"De esa forma, toda tu atención se centra en los peces gordos.","Таким образом, всё ваше внимание будет сосредоточено на крупных игроках.","Dessa forma, toda a sua atenção estará voltada para os grandes nomes.",So kann sich deine ganze Aufmerksamkeit auf die großen Jungs richten.,そうすれば、あなたの注意はすべて大物選手に集中するでしょう。,"De cette façon, toute votre attention se concentre sur les gros bonnets.",W ten sposób cała twoja uwaga będzie skupiona na tych dużych.
"Yeah, the floaty ones are a bit dumber in the final waves,","Sí, los que flotan son un poco más tontos en las olas finales,","Да, те, кто хорошо держится на воде, в последних волнах ведут себя немного глупее.","Sim, as ondas que flutuam são um pouco mais burras nas ondas finais.","Ja, die schwebenden sind in den letzten Wellen etwas dümmer.",うん、浮いているやつらは最後の波ではちょっと愚かだ、,"Oui, les plus flottants sont un peu moins performants dans les dernières vagues.","Tak, te unoszące się na wodzie są trochę głupsze na ostatnich falach,"
"They shoot at your position, not where you're gonna be.","Disparan a tu posición, no a donde vas a estar.","Они стреляют по вашей позиции, а не туда, где вы будете находиться.","Eles atiram na sua posição, não em onde você vai estar.","Sie schießen auf deine Position, nicht darauf, wo du sein wirst.",彼らは君がこれから行く場所ではなく、君のいる場所を狙って撃ってくるんだ。,"Ils tirent sur votre position, pas là où vous allez être.","Strzelają w twoją pozycję, a nie tam, gdzie będziesz."
See ya.,Nos vemos.,До свидания.,Até logo.,Bis dann.,またね。,À bientôt.,Do zobaczenia.
Take care.,Cuidarse.,Заботиться.,Tomar cuidado.,Aufpassen.,気をつけて。,Prends soin de toi.,Dbać o siebie.
"Ah, The musical wizard, yeah i got a few.","Ah, el mago musical, sí, tengo algunos.","Ах, музыкальный волшебник, да, у меня их несколько.","Ah, o mago da música, sim, eu tenho alguns.","Ah, der musikalische Zauberer, ja, da habe ich ein paar.",ああ、音楽の魔術師か。ああ、いくつか持ってるよ。,"Ah, le magicien de la musique, oui, j'en ai quelques-uns.","Ach, czarodziej muzyki, tak, mam ich kilka."
You should focus more on keeping up then falling off.,Deberías centrarte más en mantener el ritmo que en quedarte atrás.,"Вам следует больше сосредоточиться на том, чтобы не отставать, а не на том, чтобы падать.",Você deve se concentrar mais em acompanhar o ritmo do que em ficar para trás.,"Du solltest dich mehr darauf konzentrieren, mitzuhalten, als zurückzufallen.",遅れをとるよりも、現状維持にもっと集中すべきだ。,Vous devriez vous concentrer davantage sur le maintien du niveau que sur l'échec.,Powinieneś bardziej skupić się na utrzymaniu tempa niż na odpadaniu.
The double jump is more of a failsafe for missing a jump than anything.,El doble salto es más una medida de seguridad en caso de fallar un salto que otra cosa.,"Двойной прыжок — это скорее страховка на случай неудачного прыжка, чем что-либо ещё.",O salto duplo serve mais como uma medida de segurança caso você erre um salto do que qualquer outra coisa.,"Der Doppelsprung ist eher eine Art Notfallplan für den Fall, dass ein Sprung misslingt, als alles andere.",二段ジャンプは、ジャンプに失敗した時の安全策のようなものだ。,Le double saut est davantage une mesure de sécurité en cas de saut raté qu'autre chose.,"Podwójny skok jest raczej zabezpieczeniem na wypadek nieudanego skoku, niż czymkolwiek innym."
You'd be surprised how far you can jump in this one.,Te sorprendería lo lejos que puedes saltar en este juego.,"Вы удивитесь, как далеко можно прыгнуть в этой игре.",Você ficaria surpreso com a distância que consegue pular neste aqui.,"Sie wären überrascht, wie weit man damit springen kann.",このゲームでは、どれだけ遠くまでジャンプできるかに驚くでしょう。,Vous seriez surpris de voir jusqu'où vous pouvez sauter avec celui-ci.,"Zdziwiłbyś się, jak daleko możesz skoczyć."
"It's pretty easy to fall behind because of the laser,","Es bastante fácil quedarse atrás debido al láser,",Из-за лазера довольно легко отстать.,É muito fácil ficar para trás por causa do laser.,Wegen des Lasers kann man leicht den Anschluss verlieren.,レーザーのせいで遅れをとるのはかなり簡単だ。,"Il est assez facile de prendre du retard à cause du laser,","Łatwo jest zostać w tyle z powodu lasera,"
but most of the time you can jump over it.,pero la mayoría de las veces puedes saltarlo.,но в большинстве случаев его можно перепрыгнуть.,Mas na maioria das vezes você pode pular por cima.,Aber meistens kann man darüber springen.,しかし、ほとんどの場合はそれを飛び越えることができます。,"mais la plupart du temps, on peut sauter par-dessus.",ale w większości przypadków można ją przeskoczyć.
So pay attention to whether you can or not.,Así que presta atención a si puedes o no.,"Поэтому обращайте внимание на то, сможете вы это сделать или нет.","Portanto, preste atenção se você consegue ou não.","Achten Sie also darauf, ob Sie es können oder nicht.",だから、自分にできるかどうかをよく考えてください。,"Alors, faites attention à ce que vous pouvez faire ou non.",Dlatego zwróć uwagę na to czy możesz czy nie.
Have a good one.,Que tengas un buen día.,Всего доброго.,Tenha um bom dia.,Schönen Tag noch!,良い一日を。,Bonne journée.,Miłego dnia.
Bye.,Adiós.,Пока.,Tchau.,Tschüss.,さよなら。,Au revoir.,Do widzenia.
"Yeah, that freak of nature is pretty ruthless.","Sí, ese monstruo de la naturaleza es bastante despiadado.","Да, этот аномальный представитель природы довольно безжалостен.","Sim, essa aberração da natureza é bastante implacável.","Ja, dieses Naturphänomen ist ziemlich rücksichtslos.",ああ、あの異形の生物はかなり容赦ない。,"Oui, ce phénomène de la nature est plutôt impitoyable.","Tak, ten wybryk natury jest naprawdę bezlitosny."
"He's always trying to get closer to you, he needs the accuracy.","Siempre está tratando de acercarse a ti, necesita precisión.","Он всегда пытается приблизиться к тебе, ему нужна точность.","Ele está sempre tentando se aproximar de você, ele precisa de precisão.","Er versucht immer, dir näherzukommen, er braucht die Genauigkeit.",彼はいつもあなたに近づこうとしている。正確さを求めているのだ。,"Il cherche toujours à se rapprocher de toi, il a besoin de précision.","On zawsze próbuje się do ciebie zbliżyć, potrzebuje precyzji."
"so its better to run away the whole time, plus the sniper does the most damage, so its good to reflect.","Así que es mejor huir todo el tiempo, además el francotirador hace el mayor daño, así que es bueno reflejarlo.","Поэтому лучше все время убегать, к тому же снайпер наносит наибольший урон, так что полезно отражать выстрелы.","Portanto, é melhor fugir o tempo todo, além disso, o atirador de elite causa o maior dano, então é bom usar o reflexo.","Daher ist es besser, die ganze Zeit zu fliehen, außerdem richtet der Scharfschütze den größten Schaden an, daher ist es gut, zu reflektieren.",だからずっと逃げ回るのが最善だし、スナイパーは最もダメージを与えるので、反射するのが良い。,"Il vaut donc mieux fuir tout le temps, d'autant plus que le tireur d'élite inflige le plus de dégâts, il est donc judicieux de le renvoyer.","więc lepiej cały czas uciekać, a poza tym snajper robi największe obrażenia, więc warto się zastanowić."
"Sure, about the ending, y'know when he goes all crazy?","Claro, sobre el final, ¿sabes cuando se vuelve loco?","Конечно, насчет концовки, понимаешь, когда он совсем сходит с ума?","Claro, sobre o final, sabe, quando ele enlouquece completamente?","Klar, wegen des Endes, du weißt schon, wenn er völlig durchdreht?",ええ、最後の方のことですよ。彼が完全に狂ってしまうところ、分かりますよね？,"Oui, pour ce qui est de la fin, vous savez, quand il devient complètement fou ?","Jasne, co do zakończenia, wiesz, kiedy on tak szaleje?"
"Try to hide behind as many walls and riot shields as you can,","Intenta esconderte detrás de tantas paredes y escudos antidisturbios como puedas,",Постарайтесь спрятаться за как можно большим количеством стен и щитов для защиты от беспорядков.,Tente se esconder atrás do máximo de paredes e escudos antimotim que conseguir.,"Versuchen Sie, sich hinter so vielen Mauern und Riot-Schilden wie möglich zu verstecken.",できるだけ多くの壁や暴動鎮圧用盾の後ろに隠れてください。,"Essayez de vous cacher derrière autant de murs et de boucliers anti-émeute que possible,","Staraj się schować za jak największą liczbą ścian i tarcz ochronnych,"
"but stay on your toes, because if you're not paying attention, the shrinking walls could mess with your movement.","Pero mantente alerta, porque si no prestas atención, las paredes que se encogen podrían interferir con tus movimientos.","Но будьте начеку, потому что, если вы не будете внимательны, сужающиеся стены могут помешать вашим движениям.","Mas fique atento, porque se você não estiver prestando atenção, as paredes que estão encolhendo podem atrapalhar seus movimentos.","Aber seid wachsam, denn wenn ihr nicht aufpasst, könnten die schrumpfenden Wände eure Bewegungen beeinträchtigen.",しかし、油断は禁物だ。注意を怠ると、縮んでいく壁が動きを妨げる可能性がある。,"Mais restez sur vos gardes, car si vous n'y prenez pas garde, le rétrécissement des murs pourrait perturber vos mouvements.","ale bądź czujny, bo jeśli nie będziesz uważny, kurczące się ściany mogą utrudnić ci poruszanie się."
You're welcome.,De nada.,Пожалуйста.,De nada.,Gern geschehen.,どういたしまして。,Vous êtes les bienvenus.,Nie ma za co.
Uh huh.,Ajá.,Ага.,Hum-hum.,Aha.,うんうん。,"Euh, oui.",Aha.
"Theres lots more nuance to this one, so liten up.","Este tema tiene muchos más matices, así que presten atención.","В этом вопросе гораздо больше нюансов, так что расслабьтесь.","Há muito mais nuances nisso, então acenda as luzes.","Hier steckt viel mehr Nuancen dahinter, also nimm es gelassen.",これにはもっと多くのニュアンスがあるので、気楽に考えてください。,"C'est beaucoup plus nuancé, alors détends-toi.","Jest w tym o wiele więcej niuansów, więc bądźcie spokojni."
"Using both hands is CRUCIAL! For one, you must slap a bottle towards a strait wall to kill it.","¡Usar ambas manos es CRUCIAL! Para empezar, debes golpear una botella contra una pared recta para destruirla.","Использовать обе руки КРАЙНЕ ВАЖНО! Во-первых, чтобы убить бутылку, нужно ударить ею о прямую стену.","Usar as duas mãos é FUNDAMENTAL! Por exemplo, você precisa bater na garrafa contra uma parede reta para destruí-la.","Es ist entscheidend, beide Hände zu benutzen! Zum Beispiel muss man die Flasche gegen eine gerade Wand schlagen, um sie zu zerstören.",両手を使うことが非常に重要です！まず、ボトルを真っ直ぐな壁に向かって叩いて、それを破壊する必要があります。,L'utilisation des deux mains est ESSENTIELLE ! Il faut notamment frapper la bouteille contre un mur droit pour la détruire.,"Użycie obu rąk jest KLUCZOWE! Po pierwsze, musisz rzucić butelką o prostą ścianę, żeby ją zniszczyć."
"On top of that, both hands are needed to get the most cans possible out of the box of 256 when he releases em.","Además, necesita ambas manos para sacar la mayor cantidad de latas posible de la caja de 256 cuando las abre.","Кроме того, для того чтобы вытащить как можно больше банок из коробки с 256 штуками, когда он их выпускает, нужны обе руки.","Além disso, são necessárias ambas as mãos para retirar o máximo possível de latas da caixa de 256 quando ele as libera.","Darüber hinaus benötigt man beide Hände, um beim Öffnen der Schachtel mit 256 Dosen möglichst viele Dosen herauszuholen.",さらに、彼が缶を放つとき、256個入りの箱からできるだけ多くの缶を取り出すには両手が必要です。,"De plus, il faut utiliser les deux mains pour sortir le plus de canettes possible de la boîte de 256 lorsqu'il les libère.","Na dodatek, obie ręce są potrzebne, aby wyciągnąć jak najwięcej puszek z pudełka zawierającego 256 sztuk, gdy je wypuści."
"That's your queue to dash in to grab and throw, you should be able to get 4 hits in if you're quick.","Esa es tu señal para correr a agarrar y lanzar, deberías poder dar 4 golpes si eres rápido.","Это ваш сигнал к тому, чтобы рвануться вперед, схватить и бросить предмет; если вы будете быстры, вы сможете нанести 4 удара.","Essa é a sua deixa para avançar, agarrar e arremessar; você deve conseguir acertar 4 golpes se for rápido.","Das ist dein Signal, schnell vorzupreschen, zu greifen und zu werfen. Wenn du schnell genug bist, solltest du 4 Treffer landen können.",それが、突進して掴んで投げる合図です。素早く行動すれば、4回攻撃できるはずです。,C'est le moment de foncer pour attraper et lancer ; vous devriez pouvoir placer 4 coups si vous êtes rapide.,"To twoja kolej, w której musisz ustawić się, aby złapać i rzucić. Jeśli będziesz szybki, powinieneś dać radę zadać cztery ciosy."
"Sure, here's some tips about sliding in general,","Claro, aquí tienes algunos consejos sobre cómo deslizarse en general,","Конечно, вот несколько советов о скольжении в целом.","Claro, aqui vão algumas dicas sobre deslizamento em geral.","Klar, hier sind ein paar allgemeine Tipps zum Rutschen.",はい、スライディング全般に関するヒントをいくつかご紹介します。,"Bien sûr, voici quelques conseils généraux sur la glisse,","Jasne, oto kilka wskazówek dotyczących ślizgania się w ogóle,"
"Slide jumping, ground slamming, and bunny hopping are your 3 best friends.","Los saltos deslizantes, los golpes contra el suelo y los saltos de conejo son tus 3 mejores amigos.","Прыжки со скольжением, удары о землю и прыжки «зайчиком» — ваши три лучших друга.","Saltos deslizantes, impactos no chão e pulos de coelho são seus 3 melhores amigos.","Rutschsprünge, Bodenschläge und Hasenhüpfen sind deine drei besten Freunde.",スライドジャンプ、地面叩きつけ、バニーホップは、あなたの最高の3つの味方です。,"Les sauts glissés, les atterrissages au sol et les sauts de lapin sont vos 3 meilleurs amis.","Twoi trzej najlepsi przyjaciele to: skakanie na ślizgu, uderzanie o ziemię i skakanie jak króliczek."
"Ground slamming well is the hardest to master, because its not just used for large falls and crushing enemys.","El golpe contra el suelo es lo más difícil de dominar, porque no solo se usa para grandes caídas y para aplastar enemigos.","Умение хорошо бить по земле — самое сложное в освоении, потому что оно используется не только для больших падений и сокрушения врагов.","Dominar o golpe de impacto no chão é o mais difícil, pois não se limita a quedas de grandes proporções e ao esmagamento de inimigos.","Das Bodenschlagen ist am schwierigsten zu meistern, da es nicht nur für große Stürze und das Zerquetschen von Feinden eingesetzt wird.",地面に叩きつける技をマスターするのは最も難しい。なぜなら、それは大きな落下や敵を押し潰すためだけに使われるわけではないからだ。,"La projection au sol est la technique la plus difficile à maîtriser, car elle ne sert pas uniquement à réaliser de grandes chutes et à écraser les ennemis.","Umiejętność uderzania o ziemię jest najtrudniejsza do opanowania, ponieważ nie jest ona wykorzystywana wyłącznie do dużych upadków i miażdżenia wrogów."
"About to overshoot a jump? About to hit a low pipe? Thats what ground slamming is really good for, dodging these situations.",¿Estás a punto de pasarte de salto? ¿Estás a punto de chocar contra una tubería baja? Para eso sirve realmente el ground slamting: para esquivar estas situaciones.,Вы вот-вот перепрыгнете? Вы вот-вот ударитесь о низкую трубу? Вот для чего действительно хорош удар о землю — для уклонения от подобных ситуаций.,"Prestes a errar um salto? Prestes a bater em um cano baixo? É para isso que o ground slam serve, para evitar essas situações.","Du stehst kurz davor, einen Sprung zu verfehlen? Oder kurz davor, gegen ein niedriges Rohr zu prallen? Genau dafür ist Ground Slamming super geeignet – um solchen Situationen auszuweichen.",ジャンプで飛びすぎそうになった？低いパイプにぶつかりそうになった？そんな時こそ、地面に叩きつけられる回避行動が本当に役立ちます。,Vous êtes sur le point de rater un saut ? De heurter un tuyau bas ? C’est précisément à cela que sert le ground slamming : éviter ces situations.,Zaraz przelecisz nad przeszkodą? Zaraz uderzysz w niską rurę? Właśnie do tego idealnie nadaje się uderzenie w ziemię – do unikania takich sytuacji.
One more thing I guess.,"Una cosa más, supongo.","Ещё кое-что, пожалуй.",Acho que só mais uma coisa.,"Noch eine Sache, nehme ich an.",もう一つだけ。,"Encore une chose, je suppose.",Chyba jeszcze jedno.
"You probobly know that jumping while sliding increases your speed, aka bunny hopping, but so does jumping out of a ground slam.","Probablemente sepas que saltar mientras te deslizas aumenta tu velocidad, también conocido como salto de conejo, pero lo mismo ocurre al saltar después de un golpe contra el suelo.","Вы, наверное, знаете, что прыжок во время скольжения увеличивает скорость, то есть «банни-хоппинг», но то же самое можно сказать и о прыжке после удара о землю.","Você provavelmente sabe que pular enquanto desliza aumenta sua velocidade, também conhecido como bunny hop, mas o mesmo acontece ao pular após um ground slam.","Du weißt wahrscheinlich, dass man durch Springen während des Rutschens schneller wird, auch bekannt als Bunny Hopping, aber das gilt auch für das Abspringen nach einem Ground Slam.",スライディングしながらジャンプするとスピードが上がる、いわゆるバニーホップはご存知でしょうが、地面に叩きつけられた後にジャンプするとスピードが上がるのも同様です。,"Vous savez probablement que sauter en glissant augmente votre vitesse, aussi appelé « bunny hopping », mais sauter après une chute au sol a le même effet.","Prawdopodobnie wiesz, że skakanie w trakcie ślizgu zwiększa twoją prędkość (tzw. bunny hopping), ale tak samo jest ze skakaniem po uderzeniu o ziemię."
"You're welcome, and that last bit is really just a speedrunning tactic, it only cuts a bit of time. Anyway see ya.","De nada, y esa última parte es solo una táctica para speedrunning, solo ahorra un poco de tiempo. En fin, nos vemos.","Пожалуйста, а последняя часть — это всего лишь тактика скоростного прохождения, она лишь немного сокращает время. В общем, до свидания.","De nada, e essa última parte é só uma tática de speedrun, só economiza um pouco de tempo. Enfim, até mais.","Gern geschehen. Der letzte Tipp ist eigentlich nur eine Speedrun-Taktik, er spart nur ein bisschen Zeit. Na ja, bis dann.",どういたしまして。最後の部分はスピードランのテクニックに過ぎず、ほんの少し時間を短縮できるだけです。ではまた。,"De rien, et cette dernière astuce n'est qu'une technique de speedrun, ça ne fait gagner que du temps. À plus !","Proszę bardzo, a ten ostatni fragment to tak naprawdę tylko taktyka speedrunningowa, skraca tylko trochę czas. W każdym razie, do zobaczenia."
You're welcome.,De nada.,Пожалуйста.,De nada.,Gern geschehen.,どういたしまして。,Vous êtes les bienvenus.,Nie ma za co.
Uh huh.,Ajá.,Ага.,Hum-hum.,Aha.,うんうん。,"Euh, oui.",Aha.
Hell no!,¡De ninguna manera!,Ни за что!,De jeito nenhum!,Auf keinen Fall!,絶対に嫌だ！,Certainement pas !,"Jasne, że nie!"
I paid 3000 bits for this!,¡Pagué 3000 bits por esto!,Я заплатил за это 3000 бит!,Eu paguei 3000 bits por isso!,Ich habe dafür 3000 Bits bezahlt!,これを買うのに3000ビットも払ったんだ！,J'ai payé 3000 bits pour ça !,Zapłaciłem za to 3000 bitów!
"Oh y- wait, me or you?","Oh, espera, ¿yo o tú?","Ой, подожди, я или ты?","Ah, espera aí, eu ou você?","Oh, warte mal, ich oder du?",あ、えっと、待って、私？それともあなた？,"Oh, attendez, moi ou vous ?","Och, czekaj, ja czy ty?"
"You can earn bits by using my paintings,","Puedes ganar bits usando mis pinturas,","Вы можете зарабатывать биты, используя мои картины.",Você pode ganhar bits usando minhas pinturas.,"Du kannst Bits verdienen, indem du meine Gemälde verwendest.",私の絵を使うことでビットを獲得できます。,"Vous pouvez gagner des bits en utilisant mes peintures,","Możesz zarobić trochę pieniędzy, korzystając z moich obrazów,"
"the higher the difficulty, the more you earn.","Cuanto mayor sea la dificultad, más ganarás.","Чем выше сложность, тем больше вы зарабатываете.","Quanto maior a dificuldade, mais você ganha.","Je höher der Schwierigkeitsgrad, desto mehr verdient man.",難易度が高いほど、稼げる金額も多くなります。,"Plus la difficulté est élevée, plus vous gagnez.","im wyższy poziom trudności, tym więcej zarabiasz."
Thats the only way I know how.,Esa es la única manera que conozco.,Это единственный известный мне способ.,Essa é a única maneira que eu conheço.,"Das ist die einzige Möglichkeit, die ich kenne.",それが私の知っている唯一の方法です。,C'est la seule façon que je connaisse.,To jest jedyny sposób jaki znam.
The palettes next to each painting'll do that.,Las paletas que hay junto a cada cuadro se encargarán de eso.,"Это можно сделать с помощью палитр, расположенных рядом с каждой картиной.",As paletas ao lado de cada pintura farão isso.,Die Farbpaletten neben jedem Gemälde werden das bewirken.,それぞれの絵画の横にあるパレットがその役割を果たします。,Les palettes placées à côté de chaque tableau serviront à cela.,Służą do tego palety znajdujące się obok każdego obrazu.
See ya.,Nos vemos.,До свидания.,Até logo.,Bis dann.,またね。,À bientôt.,Do zobaczenia.
See ya.,Nos vemos.,До свидания.,Até logo.,Bis dann.,またね。,À bientôt.,Do zobaczenia.
"I get a few hundred every time someone uses a painting,","Recibo unos cientos cada vez que alguien usa un cuadro,","Я получаю несколько сотен каждый раз, когда кто-то использует мою картину.",Eu recebo algumas centenas cada vez que alguém usa uma pintura.,"Ich bekomme jedes Mal ein paar Hundert, wenn jemand ein Gemälde benutzt.",誰かが絵を使うたびに数百ドルもらえる。,Je reçois quelques centaines d'euros à chaque fois que quelqu'un utilise un tableau.,"Za każdym razem, gdy ktoś używa obrazu, dostaję kilkaset,"
"Its pretty freaky, they just kinda spawn in my pockets.","Es bastante espeluznante, simplemente aparecen en mis bolsillos.","Это довольно жутко, они просто появляются у меня в карманах.","É muito bizarro, eles simplesmente aparecem nos meus bolsos.","Das ist echt unheimlich, die tauchen einfach so in meinen Taschen auf.",かなり不気味だよ、ポケットの中に勝手に湧いてくるんだ。,"C'est assez flippant, ils apparaissent comme par magie dans mes poches.","To dość dziwne, one po prostu pojawiają się w moich kieszeniach."
"No clue, some divine intervention or something.","Ni idea, alguna intervención divina o algo así.","Понятия не имею, возможно, какое-то божественное вмешательство или что-то в этом роде.","Não faço ideia, talvez alguma intervenção divina ou algo do gênero.","Keine Ahnung, vielleicht göttliche Fügung oder so.",全く見当もつかない。何らかの神の介入か何かだろう。,"Aucune idée, une intervention divine ou quelque chose du genre.","Nie mam pojęcia, to jakaś boska interwencja czy coś."
Yup.,Sí.,Ага.,Sim.,Jawohl.,うん。,Ouais.,Tak.
